"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",24.95241082599934939,18197.51125791322450433
"AFG",205791.24716619660400705,64385715.38638401067216353
"AGO",55292492.03696032176832187,124742297.51717892024619040
"AIA",2125.76740300812013136,8332.24776609411302400
"ALA",107727.262609793609612590,150643.276939750812267574
"ALB",648680.052297010178676893,2873537.207248891977290297
"AND",19004.037659664109256925,45196.410731843396099388
"ARE",0.0,7120447.90264910421008977
"ARG",39086979.320572178130360779,278010122.069239110168229399
"ARM",336842.150937354701112318,2969008.679990314443105407
"ATF",71.636103116416558,4361.769312734865479
"ATG",19323.34434460033694995,43575.65842128896345334
"AUS",42280598.692826543687599842,768791340.120077130774518048
"AUT",4336043.427729245774117978,8385801.905499939572839304
"AZE",1268610.215076256695907806,8623532.539268609342292661
"BDI",537674.34837590356717160,2693531.44182177282626395
"BEL",865425.884589635005661638,3070744.164067886450474703
"BEN",168568.17385019364233565,11542318.34442238460483982
"BES",2432.08701945959650392,32365.98588800531914258
"BFA",132.10845248515462251,27341710.74522351930473789
"BGD",1938957.84070286474078212,13938437.34061712294418376
"BGR",4138947.995682696304778953,11158730.954921623558944156
"BHR",0.0,71517.71355012745267943
"BHS",303575.42138554306194574,1338763.00509960667668978
"BIH",2657977.375734728092070317,5106883.294355911893020887
"BLM",621.9506204239980110,2468.52481734927394029
"BLR",9118585.551328202342706121,20706912.088084575439115114
"BLZ",1748275.85481299673839570,2198946.13206759554715872
"BMU",604.79413164675990372,6808.11859427956943570
"BOL",64521463.01088544610081615,108339284.56963543521113143
"BRA",519187508.44570757319176429,850035649.73938406811065134
"BRB",5229.73614466928462211,43466.14610412589364673
"BRN",529338.97440789580366185,577778.77387918350054693
"BTN",2577234.59845933225294041,3876296.12215415087737140
"BWA",20328.41012015839503159,57788401.20904679945796204
"CAF",47073501.13444325959794547,62019959.33841562465498921
"CAN",418066982.534638006767705019,983422993.937913302080120766
"CHE",1544417.660332630334472431,4124549.641870477567938605
"CHL",19287066.431302504636602478,75735291.610012951778749112
"CHN",162748596.437146382080751086,938223515.692163685674443842
"CIV",14872640.43008504933032988,32165794.10810973227504949
"CMR",31459332.15238551899791725,46604005.88968728365019487
"COD",199281686.52502470828702768,232912780.76088542391008935
"COG",26388373.13191869908971588,34173222.79362294080422489
"COL",81801036.05465215773689069,113675874.94466113527591155
"COM",134784.16599877039116268,167304.82830117498169154
"CPV",7355.95390616582583522,409097.906602069916147
"CRI",3913048.86417330477443185,5117666.97282901746835011
"CUB",4014607.41507635297004797,11073121.95109033123088481
"CUW",5260.66776782065623513,43776.98739261628447501
"CYM",13458.39070137771355857,28039.82870751720721543
"CYP",89657.93337912522313624,571955.85590314882260416
"CZE",3080384.407604558097236379,7883558.885974089958623900
"DEU",12526779.901288562458559224,35783855.986941043755445220
"DJI",0.07522455290690104,2186335.76499682777191135
"DMA",70924.82619292659109540,75428.07801474745039678
"DNK",663203.697841324437225962,4314471.770574833988142303
"DOM",2576426.46692111320117810,4809195.18837634665237511
"DZA",1223621.290838986124396212,230804377.307475486593088145
"ECU",19027558.83812786646272717,25611545.43210185331444935
"EGY",154304.25470167945264010,98376439.43319294556801052
"ERI",4.60761319908799928,12045733.19758746248496209
"ESH",0.0,26732059.55215975096654387
"ESP",11018923.060405762182602316,50604278.841079475746961179
"EST",2639428.801214067656355829,4548974.012676926953448939
"ETH",12040336.15060748615385613,112951806.95088607768787144
"FIN",21627651.620616776279066637,33693917.990937670305026615
"FJI",1556559.24283948111558841,1808230.97430802926619585
"FLK",2188.35746794300833051,1239764.463493974197047
"FRA",16783020.102675517739648851,54951497.532282654915506908
"FRO",0.0,143971.2983411773786026
"FSM",6171.71774539862895956,10266.9444925617315991
"GAB",24690965.17150959218031273,26454969.88269714613233947
"GBR",3695599.410974454066736609,24548497.615154379315733505
"GEO",3144573.090796306452070645,6984457.386673158405218990
"GGY",1508.204995808022705925,8844.937559015550093284
"GHA",6955668.11695470409532843,23832413.12140677734836934
"GIB",119.85350947553375514,721.21646588173212199
"GIN",8159637.06972544350827255,24481606.68352328737564737
"GLP",94757.79385746921474022,165028.80176980835298494
"GMB",4562.45664965890314019,1067050.75194430591659226
"GNB",1069848.61390141069687175,3388205.00461477967764129
"GNQ",2654595.05549445824450396,2695935.33829352444798957
"GRC",3672496.928590372043533588,13257505.410981416612028158
"GRD",28534.39672515599116240,35953.33668168469935386
"GRL",0.0,12409768.809413019164993
"GTM",7693455.58401390553452488,10915098.49020737150100235
"GUF",8162751.08527661843132280,8330096.72653045415363355
"GUY",18996032.65976011042058563,20974416.13835175027807556
"HKG",62046.32394556243459707,112913.21583203441407111
"HND",7740481.98080365182531610,11228979.89758693972079732
"HRV",2431307.547132042079672291,5707840.168681515674620890
"HTI",858466.37960029048157821,2710683.58727082091997444
"HUN",1990161.061776488556965204,9305263.744427303611634487
"IDN",160641223.32647594676854032,189024469.02198087953844447
"IMN",13217.149622408095980320,57966.509572522908751213
"IND",38830351.46155794803241666,315279651.30502739270686485
"IRL",841570.768495549740098178,7036644.645937692533969036
"IRN",1731671.419465584668450652,162173902.839996923492213094
"IRQ",17504.255857008953015587,44535864.694012247380551605
"ISL",0.0,10222425.8295587862903
"ISR",29485.15502805966343141,2215883.36642864471807874
"ITA",9318960.444528242427322076,30075442.783973396350870276
"JAM",768439.99158159821975869,1099979.93279548358838583
"JEY",1549.970697561928385825,12512.551956938540333615
"JOR",2271.45974126752644186,8911879.30131139977284567
"JPN",26387254.411338349119829163,37240326.656746818608033983
"KAZ",4240315.679628263710583457,273053036.224312840842824403
"KEN",3319482.95848813960332363,58598335.71896889317900737
"KGZ",674974.256373887785835418,19864898.703851964967976180
"KHM",8809929.84861440999501889,18135960.79359218646667350
"KIR",0.0,689.8485050325128
"KNA",13259.95374941166522394,26717.78772642989508156
"KOR",5367962.225609613582966625,10022829.791973572136274578
"KWT",0.0,1738893.79534988961785250
"LAO",19129551.50593046922653525,23000147.78672131087690883
"LBN",65235.17381314870788321,1023803.86081601605998365
"LBR",9384713.47510004773580528,9591801.58297116256205744
"LBY",6833.00933028944905339,161606184.84794334980996715
"LCA",50731.18581796349224221,61447.62916553774545373
"LIE",9077.337999985883837498,16203.809321929616522699
"LKA",3939923.71486801745047600,6583727.01456327681218514
"LSO",6051.93664161026056227,3054531.16285686478309930
"LTU",2336226.279164942948731917,6501662.939353526534613102
"LUX",101326.485406819937032251,258155.739396161905683098
"LVA",3553506.464905755739524848,6470996.260924789124719199
"MAC",413.18574739779700960,3412.78642429267831900
"MAF",1849.57709341614266035,5616.34278553869625555
"MAR",648568.62339050335360462,41348767.35079981459651147
"MCO",0.3916300133007813,235.29748447853303345
"MDA",356012.101750254001273792,3390780.839077808368710093
"MDG",17141085.63787937820316317,59144707.32516531135286934
"MDV",5569.75391625988747919,27912.71303579199909315
"MEX",53177141.60100893003706480,195185464.54581936806903328
"MKD",781684.416775685289859543,2482514.957614572846430131
"MLI",25097.99975557780386444,125119256.16729036026934017
"MLT",116.70431756518231288,32334.79077928860401944
"MMR",42863374.09366586557790536,66929667.32947894167760388
"MNE",616440.456206316847051080,1333523.258734754865054369
"MNG",4090464.886503493835003740,156624744.504993801975260592
"MOZ",28917947.26893583707597731,78729716.65134909880931949
"MRT",33.31622286066296336,104117150.64117220123817265
"MSR",4582.52725114231973863,10061.82207914760787867
"MTQ",74649.67904764430196919,111787.95517227561268371
"MUS",71304.81704856871419132,191366.76446961085325372
"MWI",1521821.68799240541522693,11802885.39490321206595181
"MYS",29430562.39760471485859818,32938348.75983516030702530
"MYT",33577.05042572005100541,39165.17965126995111835
"NAM",3835.35235433686094751,82385622.18475278747112556
"NCL",1440330.50387026620771849,1882559.40746861257611223
"NER",2.32870724518934511,118366970.16952284869681260
"NFK",0.0,4062.59887483270603
"NGA",10048731.32858049081764411,90840998.02039801543861247
"NIC",7776807.52116413149052454,12821978.47609551817698267
"NLD",593051.675286914555455052,3766566.364398927462926934
"NOR",11739521.784679574877522498,32512221.025826783965986636
"NPL",5161040.90247139565626389,14766249.54440911916629881
"NRU",0.0,2215.23352633937021
"NZL",11255742.600712100103192270,26716575.124389060168740939
"OMN",0.35978744001953125,30933274.08644954294292724
"PAK",978655.88916245614607405,87417630.59556786990998923
"PAN",5700499.75915406369932771,7510419.90445371905206346
"PER",78087222.68306331559588268,129281868.51759689429250270
"PHL",18599416.94134115245365502,29585658.16289537711289230
"PLW",41263.46520917851066935,48743.20538078764603242
"PNG",42921809.05075390024085292,46363061.21418387992259323
"POL",10439489.725115064962918352,31239917.800095192786059345
"PRI",523696.33607200391137904,897037.27464476444667732
"PRK",5196389.714276580492067739,12275519.138588527877896381
"PRT",2302481.424513359455440653,8955505.678182672110995742
"PRY",24296867.55250758782904070,39958667.52153058269309972
"PSE",614.76689884244836687,621996.68332012093102471
"QAT",0.0,1162493.79962663973427688
"REU",170474.5250729176065367,251271.1050147123414637
"ROU",7915161.125357479993957887,23833793.638779323546450444
"RUS",761226496.941587352616536835,1689455451.854780970657220876
"RWA",497885.77544611248912074,2527769.91218258698242327
"SAU",6.80771239235242946,191598433.63238533048418675
"SDN",72712.56006031972902397,187213491.71256388776806014
"SEN",39568.36253797181547535,19688982.71259427441557839
"SGP",18784.23099652343880454,69703.69605878672495307
"SJM",0.0,5442472.3736774258488
"SLB",2741617.78668098464264740,2853324.00584824257262333
"SLE",5617878.28584864704598271,7260135.88614820091004599
"SLV",988823.30823610880805030,2042272.85894925286997022
"SMR",829.54043271587899166,6122.35296018708967514
"SOM",87128.07478370831436767,63353849.52120415161821612
"SPM",5454.071972223096188926,22663.41677143735505112
"SRB",2730300.360427929494940890,7823140.491428649668869485
"SSD",11386560.10479193393708234,62809870.69840497583125368
"STP",14213.57470684864161004,100217.9877254075421418
"SUR",13949809.56768379686065332,14642556.86529207792506495
"SVK",2397197.266002818338585648,4909915.804720551358388094
"SVN",1293520.687201151156774194,1998090.785493087369951678
"SWE",27883714.002104435238069039,45004558.106551894870939436
"SWZ",469227.38864805258201613,1738333.06301442523634948
"SXM",1022.17978238478079093,3801.38751521773779251
"SYC",6209.6246193931163913,20267.93208728938039234
"SYR",105939.86933258708076004,18691798.392134480389363075
"TCA",10851.31188484850138867,99152.01584845846856035
"TCD",409749.29467145891299602,126995174.50107455105790916
"TGO",558803.51325537549437560,5699519.20201755765932393
"THA",19962441.08856437907942932,51405448.59427812257515682
"TJK",60256.648494327338679492,14211295.405720144784992797
"TKM",10176.935689059624678079,48959209.554215404385860629
"TLS",726234.45140169164617275,1491565.39233700746922697
"TTO",391844.28193397773445722,515899.59454435671376294
"TUN",223827.619878471741492302,15486458.270952984064788980
"TUR",10060827.805633446948578251,78070340.890014639857096796
"TUV",0.0,49.9008349886126798
"TWN",2342180.54739476470518410,3640651.39732426549509119
"TZA",26406465.77484014793612082,94057690.73100661920319871
"UGA",7764958.85456232810653237,24143952.93930407894601738
"UKR",11133284.652451837965524474,60136109.708216557442606306
"UMI",145.8981168277604857,541.67976280499887081
"URY",1697322.42308113395185469,17746574.34434811698245577
"USA",279376627.649932508152059858,947295610.248258868889210765
"UZB",106176.257291830359973197,44755388.10019688079286531
"VAT",4.838481851469183554,52.878039684036308838
"VCT",29110.61416116643163427,39788.97162863021332170
"VEN",56533524.97089861751319974,91249225.52623404514817915
"VGB",7463.88088378356884539,16932.04449944611883054
"VIR",18997.90728331078297257,36213.91572681737393991
"VNM",16551332.11341411882955462,32927599.94752556477880242
"VUT",1181152.06497088809533133,1231886.10315649848582940
"XAD",455.93756603192600390,23448.38132255781165624
"XCA",141764.268407921534754949,37158133.711558066231264901
"XCL",0.0,1008.639098371928953
"XKO",370224.383966758614086575,1091976.447945982643475743
"XNC",12307.27552925240904218,331406.91415765834075750
"XPI",0.0,1969.2127161159838
"XSP",0.0,188.15293746538872091
"YEM",126.1637233351827867,45220898.29137349563711805
"ZAF",5983115.28501282105967190,121971018.80353554471217261
"ZMB",24050819.11173341386177967,75049201.88692210869019557
"ZWE",1414326.42467242174408765,39068111.13497859662159988
